int_code,name,description,quantity,taxes,purchase_price,sale_price,taxPercentage,margin
1001,Aguacate criollo,Caja (10 kg),0,true,400,571.4285714,1,30
1002,Aguacate Hass de México - Super Extra,Caja (10 kg),0,true,19000,27142.86,1,30
1003,Aguacate Hass de México - Supremo,Caja (10 kg),0,true,20000,28571.43,1,30
2004,Ajo de China (presentación 1x3),Caja (10 kg),0,true,14000,20000,1,30
2005,Ajo de China (presentación 500 gramos),Caja (10 kg),0,true,14000,20000,1,30
2006,Ajo de China (presentación trenza 1 kg),Mata,0,true,20000,28571.43,1,30
2007,Apio verde (mata),Kilo,0,true,1100,1571.43,1,30
2008,Ayote sazón,Kilo,0,true,400,571.4285714,1,30
2009,Ayote sazón mantequilla,Unidad,0,true,600,857.1428571,1,30
2010,Ayote tierno,Unidad,0,true,400,571.4285714,1,30
1011,Banano maduro criollo,Caja,0,true,35,50,1,30
1012,Banano maduro rechazo de exportación,Caja,0,true,3000,4285.71,1,30
1013,Banano verde rechazo de exportación,Kilo,0,true,3000,4285.71,1,30
2014,Brócoli,Kilo,0,true,1000,1428.57,1,30
2015,Camote,Kilo,0,true,600,857.1428571,1,30
1016,Carambola,Kilo,0,true,700,1000,1,30
3017,Cas,Kilo,0,true,800,1142.86,1,30
2018,Cebolla seca amarilla burra,Kilo,0,true,650,928.5714286,1,30
2019,Cebolla seca amarilla suelta,Kilo,0,true,650,928.5714286,1,30
2020,Cebolla seca amarilla trenza,Kilo,0,true,650,928.5714286,1,30
2021,Cebolla seca morada,Rollo,0,true,900,1285.71,1,30
2022,Cebollino,Java,0,true,250,357.1428571,1,30
2023,Chayote tierno criollo,Java,0,true,15000,21428.57,1,30
2024,Chayote tierno quelite,Caja plástica,0,true,13000,18571.43,1,30
2025,Chile dulce jumbo,Caja plástica,0,true,43000,61428.57,1,30
2026,Chile dulce primera,Caja plástica,0,true,40000,57142.86,1,30
2027,Chile dulce segunda,Caja plástica,0,true,37000,52857.14,1,30
2028,Chile dulce tercera,Kilo,0,true,23000,32857.14,1,30
1029,Ciruela importada,Unidad,0,true,2500,3571.43,1,30
1030,Coco,Unidad,0,true,400,571.4285714,1,30
2031,Coliflor,Rollo de 10 rollitos,0,true,700,1000,1,30
2032,Culantro castilla,Unidad,0,true,1000,1428.57,1,30
2033,Elote,Rollo,0,true,150,214.2857143,1,30
2034,Espinaca,Canasta (1 Kg),0,true,250,357.1428571,1,30
1035,Fresa (1 Kg),Canasta (400 g),0,true,2000,2857.14,1,30
1036,Fresa (400 g),Unidad,0,true,1000,1428.57,1,30
1037,Granadilla primera,Unidad,0,true,160,228.5714286,1,30
1038,Granadilla segunda,Kilo,0,true,130,185.7142857,1,30
1039,Guanábana criolla,Kilo,0,true,1200,1714.29,1,30
1040,Guanábana injertada,Kilo,0,true,1400,2000,1,30
1041,Guayaba China/Taiwanesa,Kilo,0,true,800,1142.86,1,30
2042,Jenjibre sazón,Kilo,0,true,1100,1571.43,1,30
1043,Kiwi,Unidad,0,true,2500,3571.43,1,30
2044,Lechuga Americana,Unidad,0,true,250,357.1428571,1,30
1045,Limón mandarina,Unidad,0,true,150,214.2857143,1,30
1046,Limón mesino,Kilo,0,true,200,285.7142857,1,30
1047,Mandarina Clementina,Caja plástica (17.5 kg),0,true,2200,3142.86,1,30
1048,Manga grande Cavallini,Caja plástica (17.5 kg),0,true,5000,7142.86,1,30
1049,Manga grande Tommy,Caja plástica (17.5 kg),0,true,6000,8571.43,1,30
1050,Manga pequeña Mora,Caja (80-100 und),0,true,6000,8571.43,1,30
1051,Manzana Gala,Caja (150-198 und),0,true,25000,35714.29,1,30
1052,Manzana Gala.,Caja (80-100 und),0,true,20000,28571.43,1,30
1053,Manzana Roja,Caja (80-100 und),0,true,26000,37142.86,1,30
1054,Manzana Verde,Kilo,0,true,26000,37142.86,1,30
1055,Maracuyá,Kilo,0,true,1100,1571.43,1,30
1056,Melocotón,Kilo,0,true,2500,3571.43,1,30
1057,Melón Cantaloupe,Kilo,0,true,600,857.1428571,1,30
1058,Mora fresca,Unidad,0,true,1800,2571.43,1,30
1059,Naranja dulce,Kilo,0,true,70,100,1,30
1060,Naranja Washington importada,Kilo,0,true,1550,2214.29,1,30
1061,Naranjilla,Kilo,0,true,1500,2142.86,1,30
2062,Ñampí,Malla (45 kg),0,true,1600,2285.71,1,30
2063,Papa amarilla primera,Malla (45 kg),0,true,55000,78571.43,1,30
2064,Papa blanca primera,Malla (45 kg),0,true,50000,71428.57,1,30
2065,Papa roja,Malla (45 kg),0,true,45000,64285.71,1,30
2066,Papa semilla,Malla (45 kg),0,true,35000,50000,1,30
2067,Papa semillón,Kilo,0,true,35000,50000,1,30
1068,Papaya híbrida,Kilo,0,true,350,500,1,30
2069,Pejibaye,Kilo,0,true,1200,1714.29,1,30
2070,Pepino,Caja (80-100 und),0,true,250,357.1428571,1,30
1071,Pera de Argentina,Unidad,0,true,26000,37142.86,1,30
1072,Piña - grande,Unidad,0,true,800,1142.86,1,30
1073,Piña - mediana,Unidad,0,true,600,857.1428571,1,30
1074,Piña - pequeña,Unidad,0,true,500,714.2857143,1,30
1075,Pipa pelada,Unidad,0,true,200,285.7142857,1,30
1076,Plátano maduro,Unidad,0,true,200,285.7142857,1,30
1077,Plátano verde,Unidad,0,true,200,285.7142857,1,30
2078,Remolacha,Kilo,0,true,250,357.1428571,1,30
2079,Repollo morado,Kilo,0,true,600,857.1428571,1,30
2080,Repollo verde,Kilo,0,true,300,428.5714286,1,30
1081,Sandía de campo - grande,Kilo,0,true,400,571.4285714,1,30
1082,Sandía de campo - mediana,Unidad,0,true,300,428.5714286,1,30
2083,Suquini,Kilo,0,true,400,571.4285714,1,30
1084,Tamarindo,Kilo,0,true,2600,3714.29,1,30
2085,Tiquisque,Caja plástica (18 kg),0,true,1800,2571.43,1,30
2086,Tomate primera,Caja plástica (18 kg),0,true,11000,15714.29,1,30
2087,Tomate segunda,Caja plástica (18 kg),0,true,9500,13571.43,1,30
2088,Tomate tercera,Caja (8.2 kg),0,true,7000,10000,1,30
1089,Uva globo de Chile,Caja (8.2 kg),0,true,18000,25714.29,1,30
1090,Uva verde,Kilo,0,true,28000,40000,1,30
2091,Vainica,Kilo,0,true,800,1142.86,1,30
2092,Yuca parafinada,Malla (45 kg),0,true,550,785.7142857,1,30
2093,Zanahoria primera,Unidad,0,true,8000,11428.57,1,30
7622210864536,Tang Manzana 20g,Unidad,0,true,150.44,200,13,15.0014
7622210864772,Tang Mix,Unidad,0,true,150.44,200,13,15.0014
7622210863690,Tang Ponche Frutas,Unidad,0,true,150.44,200,13,15.0014
7622210863652,Tang Té Limón,Unidad,0,true,150.44,200,13,15.0014
5001,Paleta Corazón Dulce Amor 24g,Unidad,0,true,53.32,75,13,19.66453333
5002,Popi Big Bom Pintalabios XXL Willy,Unidad,0,true,35.39,50,13,20.0186
5003,Chicle Canicas Niasa,Unidad,0,true,7.47,15,13,43.726
7622210427106,Halls Extra Mentol barra,Unidad,0,true,212.39,350,13,31.42837143
7622210427045,Halls de Cereza Barra,Unidad,0,true,212.39,350,13,31.42837143
7622201776572,Chicle Trident yerba buena 5u,Unidad,0,true,221.24,350,13,28.57108571
7506105606060,Chicle Trident yerba buena 18u,Unidad,0,true,570.8,785,13,17.83388535
7622210451835,Chicle Clorets grande,Unidad,0,true,199.11,325,13,30.77098462
75019907,Chicle clorets pequeño,Unidad,0,true,41.29,55,13,15.16781818
86581110864,Galleta Yipy Pozuelo,Unidad,0,true,169.61,225,13,14.81808889
7441163400680,Galleta Recreo Pozuelo,Unidad,0,true,130.7,200,13,26.1545
8906078264356,Galleta cremita yumbo fresa,Unidad,0,true,89.23,130,13,22.43853846
86581016289,Galleta María Pozuelo,Unidad,0,true,121.28,180,13,23.86311111
7702993042267,Gomitas Trululu sandías ácidas 90g,Unidad,0,true,371.68,530,13,20.75501887
756972000028,Palillos para dientes Premier,Unidad,0,true,544.25,780,13,21.15352564
6001,Candelas blancas Godiz,Unidad,0,true,147.78,205,13,18.54078049
7452100250077,Fósforos Quetzal,Unidad,0,true,30.2,50,13,31.748
7702007067392,Chocobolas,Unidad,0,true,20.19,30,13,23.951
748757005892,Gomita Cerezas Diana,Unidad,0,true,110.62,155,13,19.35445161
756956004752,Botoneta pequeña Chocolate,Unidad,0,true,51.62,75,13,22.22586667
7441167600260,Desodorante Roll-on Country men,Unidad,0,true,172.57,250,13,21.99836
7501027250612,Desodorante Obao Roll-on Mujer piel delicada,Unidad,0,true,1769.91,2460,13,18.6992561
7501027286024,Desodorante Obao roll on hombre,Unidad,0,true,1769.91,2460,13,18.6992561
7501027278487,Desodorante Obao Roll on Mujer frescura suave,Unidad,0,true,1769.91,2460,13,18.6992561
7506295326458,Shampoo Pantene 2en1 rizos definidos,Unidad,0,true,85.55,140,13,30.94892857
7590002008904,Shampoo HS 2en1 suave manejable 10ml,Unidad,0,true,85.55,140,13,30.94892857
7506195120033,Shampoo HS Manzana fresh 10ml,Unidad,0,true,79.46,110,13,18.37290909
7501056336950,Shampoo Sedal 2en1 ceramidas 10ml,Unidad,0,true,101.03,150,13,23.89073333
7509546650098,Shampoo Palmolive Ext. 10ml,Unidad,0,true,74.67,115,13,26.6286087
70330617285,Encendedor Bic mini,Unidad,0,true,453.1,625,13,18.07952
7443002260066,Achiote Achiotin Casero,Unidad,0,true,66.27,100,13,25.1149
721282403708,Cheetos Poffs 12g,Unidad,0,true,73.75,100,13,16.6625
750894612741,Ranchitas Chile 25g,Unidad,0,true,110.62,150,13,16.66626667
750894609741,Papas Zibas Mostaza miel 23g,Unidad,0,true,184.37,260,13,19.86996154
7441001009501,Picaritas Jacks 27g,Unidad,0,true,147.5,200,13,16.6625
7702037876186,Cepillo limpiaya,Unidad,0,true,477.9,745,13,27.51315436
7702037875875,Esponjas flash-doble uso,Unidad,0,true,571.63,1354,13,52.29380355
7613032343019,Consome Costilla maggi 10g,Unidad,0,true,91.08,135,13,23.76266667
7613032343101,Consome Res maggi 10g,Unidad,0,true,91.08,135,13,23.76266667
7613032343231,Consome Camaron maggi 10g,Unidad,0,true,91.08,135,13,23.76266667
88169407625,Consome pollo maggi 10g,Unidad,0,true,91.08,135,13,23.76266667
7702037876162,Palita plastica Limpiaya,Unidad,0,true,962.55,1345,13,19.13148699
7702037875646,Escoba Florencia Limpiaya,Unidad,0,true,1425.6,1995,1,27.82676692
7702037874991,Palopiso Limpiaya,Unidad,0,true,1624.5,2545,13,27.87092338
3014260287047,Prestobarba Gillette 2,Unidad,0,true,145.28,200,13,17.9168
7445072000474,Big Cola negra 1L,Unidad,0,true,501.47,700,13,19.04841429
7441057501899,Arroz Santa Isabel 96% 1800g,Unidad,0,true,1080,1200,1,9.1
7441057500687,Arroz Mr. Máximo Selecto 95% 1k,Unidad,0,true,810,900,1,9.1
7441057500779,Arroz Mr. Máximo 95% Selecto 450g,Unidad,0,true,403.17,450,1,9.510733333
747627150014,Mayonesa con limón Lizano 380g,Unidad,0,true,1965.35,2340,1,15.1707906
735051007103,Salsa de Tomate Banquete 385g,Unidad,0,true,1089.11,1315,1,16.34972624
735051007127,Salsa de Tomate 100g,Unidad,0,true,346.53,450,1,22.22326667
747627150038,Mayonesa con Limón Lizano 100g,Unidad,0,true,589.11,670,1,11.19386567
7441057501509,Azúcar Mr. Máximo 1k,Unidad,0,true,752,840,1,9.580952381
7441057501660,Azúcar Mr. Máximo 2k,Unidad,0,true,1481,1650,1,9.344848485
7441057501318,Lengua Mr. Máximo 250g,Unidad,0,true,613.35,750,1,17.4022
7441057501295,Spaguetti N5 Mr. Máximo 250g,Unidad,0,true,613.5,730,1,15.11849315
7441057501332,Caracolitos Mr. Máximo 250g,Unidad,0,true,613.5,750,1,17.382
7441057501578,Hongos rebanados Valle Real 184g,Unidad,0,true,575.98,795,13,18.13114465
7441057501561,Maíz Dulce 184g Valle Real,Unidad,0,true,501.47,685,13,17.27575182
7441057501530,Atún en trozos con vegetales Mr. Máximo 160g,Paquete,0,true,882.5,1060,1,15.91273585
7441163407054,Galleta soda Pozuelo 21 paqutes,Unidad,0,true,1230.69,1495,1,16.85639465
86581011079,Galleta soda Pozuelo 22g,Unidad,0,true,58.6,75,1,21.08533333
86581017828,Galleta canastas guayaba Pozuelo 21g,Paquete,0,true,149.7,205,13,17.48243902
86581007829,Galleta canasta guayaba 12 u,Unidad,0,true,1796.46,2436,13,16.66667488
86581110888,Galleta chiky Pozuelo 40g,Paquete,0,true,142.65,195,13,17.33615385
7441163407450,Galleta Chiky Pozuelo 10 u,Unidad,0,true,1426.55,1935,13,16.69242894
86581017316,Galleta mantequilla Pozuelo 26g,Paquete,0,true,147.23,180,1,17.38761111
7441163405746,Galleta mantequilla Pozuelo 10 u,Unidad,0,true,1472.28,1785,1,16.69452101
86581012335,Galleta bokitas Pozuelo 27g,Paquete,0,true,149.51,185,1,18.37562162
86581002336,Galleta bokitas Pozuelo 12 u,Unidad,0,true,1794.06,2175,1,16.68962759
7441001000294,Cereal poffis jacks 170g,Unidad,0,true,812.39,1115,13,17.66809865
7441001000379,Cereal roditas jacks 170g,Unidad,0,true,812.39,1115,13,17.66809865
7441001000300,Cereal naranitas jacks 170g,Unidad,0,true,812.39,1115,13,17.66809865
7441001002014,Cereal Cris crispis jacks 170g,Unidad,0,true,806.19,1100,13,17.1823
7441000703943,Quesitos Tosty 30g,Unidad,0,true,214.01,300,13,19.38956667
7441000703707,Tronaditas Tosty 35g,Unidad,0,true,214.01,300,13,19.38956667
7441000703950,Bolitas de Queso tosty 32g,Unidad,0,true,215.89,300,13,18.68143333
735051016877,Colado Heinz,Unidad,0,true,285.1,390,13,17.39410256
